Youtuber,subs,view,count,category
Shadow MusicShadow Music ,15.855431341481827,22.022358834121203,7.042286171939743,People & Blogs
Emi WongEmi Wong ,15.398604495058773,20.225121124484428,5.966146739123692,People & Blogs
iQIYI 爱奇艺iQIYI 爱奇艺 ,15.204301799282751,21.279763626687966,9.18399639663658,Film & Animation
South China Morning PostSouth China Morning Post ,14.790070197962406,21.68348352521777,9.339261152043022,News & Politics
GEM鄧紫棋GEM鄧紫棋 ,14.739769459487606,21.28408772239658,4.343805421853684,People & Blogs
Ani-One動漫專區Ani-One動漫專區 ,14.518608069377388,19.291804501370812,7.613818684808629,Film & Animation
蘋果動新聞 HK Apple Daily蘋果動新聞 HK Apple Daily ,14.446782334806132,21.180968297345867,11.164587103533947,News & Politics
Nikmatul RosidahNikmatul Rosidah ,14.279244574196415,19.76834114214739,7.436617265234227,People & Blogs
Kento BentoKento Bento ,14.27293540500315,18.738482830069135,3.6375861597263857,Education
ApronApron ,14.234220892822458,19.02392142797824,5.846438775057725,Howto & Style
亮生活 / Bright Side亮生活 / Bright Side ,14.187074114396758,19.64550164358818,8.122668023346407,People & Blogs
X調查X調查 ,14.03062193758122,19.041866674961444,5.087596335232384,Entertainment
天天相見廚房_阿見天天相見廚房_阿見 ,13.919870573288517,19.761125349286846,7.458186157340487,Film & Animation
TaleekTaleek ,13.87377946608825,16.88674243490391,4.927253685157205,Education
點 Cook Guide點 Cook Guide ,13.845069360205818,18.88635080935954,6.736966958001855,Howto & Style
JASONJASON ,13.81049801614073,19.989669071679735,7.937017489515454,People & Blogs
serpentzaserpentza ,13.79224193102492,18.90921083727958,6.891625897052253,People & Blogs
5分鐘DIY5分鐘DIY ,13.790192749979985,19.473098835012234,8.047509510981422,People & Blogs
TVB (official)TVB (official) ,13.695600261291716,20.893471708506958,10.319694757176194,Entertainment
Angelic Music WorldAngelic Music World ,13.688812904918317,20.762925235593908,6.234410725718371,Music
memehongkongmemehongkong ,13.594863886848652,21.056582802359376,10.353671054332557,News & Politics
果籽果籽 ,13.589863876431945,20.269737249819194,9.637306011530349,News & Politics
Mira's GardenMira's Garden ,13.500799813124575,18.935274425662968,6.8001700683022,Travel & Events
Huace Croton TV Arabic - العربية مسلسلات صينيةHuace Croton TV Arabic - العربية مسلسلات صينية ,13.465953081794405,19.56867886061682,7.618251097876695,Entertainment
Ayisha Elseenya - عائشة الصينيةAyisha Elseenya - عائشة الصينية ,13.37700559577791,17.23198665664349,4.51085950651685,Music
Games EffectGames Effect ,13.35506114152335,20.076960602105398,4.499809670330265,Gaming
哔哩哔哩动画Anime Made By Bilibili哔哩哔哩动画Anime Made By Bilibili ,13.324487561494463,17.83200557244513,7.765569081097317,Film & Animation
Cooking A DreamCooking A Dream ,13.258640995696876,18.21871163591732,5.159055299214529,Howto & Style
鬥士工作室 Fighter Studio HK鬥士工作室 Fighter Studio HK ,13.258640995696876,20.992814848425194,7.891330757661889,
阿星探店Chinese Food Tour阿星探店Chinese Food Tour ,13.232114241363448,19.231956718165286,5.860786223465865,
D100 RadioD100 Radio ,13.178743710840436,19.21686616577707,9.510963348560765,News & Politics
Mama CheungMama Cheung ,13.178743710840436,18.33081501717951,5.872117789475416,Howto & Style
GURUNG DIIPA [GDiipa]GURUNG DIIPA [GDiipa] ,13.159659162148026,17.494310281853306,5.214935757608986,Howto & Style
JeffHKJeffHK ,13.116345305078767,17.818694711492622,3.7612001156935624,Travel & Events
蛇仔明蛇仔明 ,13.093963902882631,19.757267321518903,8.519989278718239,People & Blogs
環星音樂 / 環星娛樂 WSM Music HK環星音樂 / 環星娛樂 WSM Music HK ,13.060487973686241,20.14222066820852,8.462314529906248,Music
arhoTVarhoTV ,13.045482333068371,18.946762463420797,6.548219102762372,People & Blogs
HKTVNetworkHKTVNetwork ,13.041153321978786,18.33980703108964,6.992096427415888,Entertainment
我要做富翁我要做富翁 ,13.028052697933088,17.917422002319903,7.723120092266331,Education
SKT PlusSKT Plus ,13.028052697933088,19.19865385431764,7.091742115095153,Film & Animation
Carl Ho卡爾 頻道Carl Ho卡爾 頻道 ,13.001325049027272,18.90895273587673,6.856461984594587,Entertainment
MakeLearningFunMakeLearningFun ,12.987688474077727,19.214892913591523,5.541263545158426,People & Blogs
有線電視 CABLE TV & 有線新聞 CABLE News有線電視 CABLE TV & 有線新聞 CABLE News ,12.985397522331171,19.36474256066477,10.353447900530844,
Everyday ChineseEveryday Chinese ,12.983101310070822,16.867066724725984,5.814130531825066,Education
PEAR哥PEAR哥 ,12.980799813082541,18.182201207775808,2.833213344056216,Film & Animation
托哥torres托哥torres ,12.976180867226248,17.754076073622667,5.049856007249537,People & Blogs
REWA TechnologyREWA Technology ,12.962194625251508,18.256623808800597,5.916202062607435,Science & Technology
Shila Amzah 茜拉Shila Amzah 茜拉 ,12.957488734214095,17.510401233430304,5.081404364984463,Music
香港大紀元新唐人聯合新聞頻道香港大紀元新唐人聯合新聞頻道 ,12.948009990259552,20.006611650986045,10.451926829595399,News & Politics
ViuTVViuTV ,12.931202871943169,19.265780261181508,9.220191688026556,Entertainment
升旗易得道升旗易得道 ,12.896716695872,20.199638442400378,9.104757609401117,People & Blogs
秘史趣聞秘史趣聞 ,12.894207284266574,18.627774040287374,7.093404625868766,People & Blogs
屎萊姆瘋狂世界屎萊姆瘋狂世界 ,12.881564890851399,18.46975601033344,7.108244139731541,Gaming
mingjai14mingjai14 ,12.86876061860541,18.185320218388625,5.68697535633982,Comedy
lizzydailylizzydaily ,12.866179972011919,18.3199667940459,6.1224928095143865,People & Blogs
茶餘飯後茶餘飯後 ,12.866179972011919,16.806311442180665,7.418780882750794,Entertainment
鳳凰衛視 Phoenix TV鳳凰衛視 Phoenix TV ,12.815838217151068,18.758267223859615,9.250618218474752,News & Politics
Gundam GGundam G ,12.810388612383504,18.593752587070277,4.51085950651685,Film & Animation
Yuki LeungYuki Leung ,12.748396936355535,18.568188255288582,4.564348191467836,People & Blogs
機動電視台RTV機動電視台RTV ,12.742566016044742,16.92051611729737,4.59511985013459,People & Blogs
屎萊姆的3次元屎萊姆的3次元 ,12.730801174465157,18.88639193008144,6.6895992691789665,People & Blogs
伯賴伯賴 ,12.7098736543592,17.91731563785394,5.4116460518550396,Entertainment
haywong709haywong709 ,12.697715449879391,18.0187155639442,5.634789603169249,Howto & Style
RickyKAZAFRickyKAZAF ,12.688498794774466,17.440891376738605,6.489204931325317,Howto & Style
Alfred ChanAlfred Chan ,12.688498794774466,18.012644999588204,5.755742213586912,Travel & Events
霸宠恋剧社霸宠恋剧社 ,12.685407602204794,19.392609113872936,8.014004994779459,Entertainment
