Youtuber,subs,view,count,category
Shadow MusicShadow Music ,15.855431341481827,22.022358834121203,7.042286171939743,People & Blogs
Emi WongEmi Wong ,15.398604495058773,20.225121124484428,5.966146739123692,People & Blogs
iQIYI 爱奇艺iQIYI 爱奇艺 ,15.204301799282751,21.279763626687966,9.18399639663658,Film & Animation
South China Morning PostSouth China Morning Post ,14.790070197962406,21.68348352521777,9.339261152043022,News & Politics
Ani-One動漫專區Ani-One動漫專區 ,14.518608069377388,19.291804501370812,7.613818684808629,Film & Animation
亮生活 / Bright Side亮生活 / Bright Side ,14.187074114396758,19.64550164358818,8.122668023346407,People & Blogs
X調查X調查 ,14.03062193758122,19.041866674961444,5.087596335232384,Entertainment
TaleekTaleek ,13.87377946608825,16.88674243490391,4.927253685157205,Education
點 Cook Guide點 Cook Guide ,13.845069360205818,18.88635080935954,6.736966958001855,Howto & Style
JASONJASON ,13.81049801614073,19.989669071679735,7.937017489515454,People & Blogs
serpentzaserpentza ,13.79224193102492,18.90921083727958,6.891625897052253,People & Blogs
5分鐘DIY5分鐘DIY ,13.790192749979985,19.473098835012234,8.047509510981422,People & Blogs
memehongkongmemehongkong ,13.594863886848652,21.056582802359376,10.353671054332557,News & Politics
D100 RadioD100 Radio ,13.178743710840436,19.21686616577707,9.510963348560765,News & Politics
JeffHKJeffHK ,13.116345305078767,17.818694711492622,3.7612001156935624,Travel & Events
蛇仔明蛇仔明 ,13.093963902882631,19.757267321518903,8.519989278718239,People & Blogs
托哥torres托哥torres ,12.976180867226248,17.754076073622667,5.049856007249537,People & Blogs
升旗易得道升旗易得道 ,12.896716695872,20.199638442400378,9.104757609401117,People & Blogs
lizzydailylizzydaily ,12.866179972011919,18.3199667940459,6.1224928095143865,People & Blogs
haywong709haywong709 ,12.697715449879391,18.0187155639442,5.634789603169249,Howto & Style
Alfred ChanAlfred Chan ,12.688498794774466,18.012644999588204,5.755742213586912,Travel & Events
ADSR Music Production TutorialsADSR Music Production Tutorials ,12.604848765487542,17.358906996779865,7.786551806428712,Music
華劇場精選 MQ Chinese Drama華劇場精選 MQ Chinese Drama ,12.570715759118084,18.936363906749587,8.105005537547246,People & Blogs
MIRRORMIRROR ,12.54966234992025,19.096138647717005,4.820281565605037,Entertainment
大祥哥來了大祥哥來了 ,12.54966234992025,18.057333388906645,5.236441962829949,People & Blogs
♫НеаДекват Records♫♫НеаДекват Records♫ ,12.524526376648708,17.834640846563197,4.955827057601261,Film & Animation
EHPMusicChannelEHPMusicChannel ,12.506340187666453,18.972864796252153,6.453624998892692,Music
解忧电影站解忧电影站 ,12.491251587763836,18.878253750901095,6.833031732786201,Film & Animation
Coco哥Coco哥 ,12.425208175446844,17.921269494316533,6.359573868672378,Entertainment
Ahhin (Hins)Ahhin (Hins) ,12.4130868149145,18.03686319256393,7.283448228756631,Gaming
香港花生香港花生 ,12.358793732547838,17.30195284621439,8.35490952835879,News & Politics
Ashly 老陳Ashly 老陳 ,12.35017298950393,13.39829214963004,1.3862943611198906,People & Blogs
TVB Drama - Crime & Mystery 神秘頻道 TVB Drama - Crime & Mystery 神秘頻道 ,12.345834587905333,16.380955561803617,6.625392368007956,Entertainment
YOUKU SHOWYOUKU SHOW ,12.337100907936577,18.3380537523919,8.955448122347393,Entertainment
Muse木棉花-HKMuse木棉花-HK ,12.332705296463539,17.68538994591316,8.316300249036848,Film & Animation
馬米高 Michael MMG馬米高 Michael MMG ,12.310432660854417,16.862639643047732,5.327876168789581,Comedy
屯門畫室 Tuen Mun Studio屯門畫室 Tuen Mun Studio ,12.301382825334498,16.931920385123927,6.837332814685591,Education
Angela Hui 許靖韻「小背心」Angela Hui 許靖韻「小背心」 ,12.269047444691562,17.97422520526439,5.14166355650266,Music
TD TSUNTD TSUN ,12.245293358683455,18.088725255449308,6.444131256700441,Gaming
IC实验室IC实验室 ,12.245293358683455,17.051535335383544,5.313205979041787,Science & Technology
AROGANTNÍAROGANTNÍ ,12.211060187041213,17.23194798461342,4.997212273764115,Entertainment
香港01香港01 ,12.190959007720126,19.087746599482024,9.365033761652663,News & Politics
灿星官方频道Canxing Media Official Channel灿星官方频道Canxing Media Official Channel ,12.185869938212655,18.983422116441005,8.540714386457584,Entertainment
ben's gadget reviewsben's gadget reviews ,12.117241431823558,17.58913420427891,6.400257445308821,Science & Technology
Dou TVDou TV ,12.111761966058932,17.1042953199365,5.529429087511423,Entertainment
Ho Talk Duck 好Talk得Ho Talk Duck 好Talk得 ,12.100712129872347,10.825800116728777,3.1780538303479458,People & Blogs
豪Dee豪Dee ,12.049418835484797,16.923670709434376,4.962844630259907,People & Blogs
Boba BeatsBoba Beats ,12.025749091398891,19.1583579414125,6.71295620067707,Music
odyleungodyleung ,12.025749091398891,16.58978910165124,5.493061443340548,People & Blogs
老洋咩咩老洋咩咩 ,11.99535161421452,16.040939838855557,5.393627546352362,Gaming
TheLittleBaluTheLittleBalu ,11.944707881395766,13.978215970073085,3.367295829986474,People & Blogs
小超讲电影小超讲电影 ,11.918390573078392,17.283279891940794,5.37989735354046,Film & Animation
kayan ckayan c ,11.918390573078392,16.407968072842408,4.820281565605037,Travel & Events
Asia HOTAsia HOT ,11.904967552746252,18.017536744984987,4.634728988229636,Travel & Events
GoomusicGoomusic ,11.856515169360305,17.431685278002185,6.244166900663736,Music
史大郎史大郎 ,11.84939770159144,17.138518336116512,4.983606621708336,People & Blogs
狄達 TiKToK狄達 TiKToK ,11.805595078933049,16.55209742097756,5.231108616854587,People & Blogs
big big channel - 大台網big big channel - 大台網 ,11.805595078933049,18.210231515201222,8.938794081433805,Entertainment
天堂电影天堂电影 ,11.759785542901755,18.233311046711293,6.304448802421981,Film & Animation
唐人影視作品展唐人影視作品展 ,11.695247021764184,18.428464501757453,7.05444965813294,Entertainment
在下葉問在下葉問 ,11.686878772093667,17.609619514154133,7.755338812846501,Comedy
MaMa FishMaMa Fish ,11.661345470088502,16.56926247635022,5.3471075307174685,Howto & Style
falllabfalllab ,11.652687407345388,17.42568741230883,5.8998973535824915,Entertainment
penguinsixpenguinsix ,11.635143097694478,16.74937625754843,7.083387847625295,News & Politics
seanlaiseanlai ,11.626254150277232,17.96401518977769,7.774435510302958,Entertainment
Creamy YickCreamy Yick ,11.608235644774552,14.956012431075665,2.9444389791664403,People & Blogs
攪屎棍 PoopStirrer攪屎棍 PoopStirrer ,11.59910316121128,17.193975334133263,5.8998973535824915,Entertainment
Kitling_雀斑妹Kitling_雀斑妹 ,11.580584113444043,16.237919269874467,4.330733340286331,People & Blogs
渔农小池渔农小池 ,11.571194373094205,18.41272770218876,7.144407180321139,People & Blogs
