rank,Youtuber,subscribers,video views,video count,category,started
1,Shadow MusicShadow Music ,"7,690,000","3,665,970,114","1,144",People & Blogs,2017
2,Emi WongEmi Wong ,"4,870,000","607,656,993",390,People & Blogs,2014
3,iQIYI 爱奇艺iQIYI 爱奇艺 ,"4,010,000","1,744,552,001","9,740",Film & Animation,2015
4,South China Morning PostSouth China Morning Post ,"2,650,000","2,612,265,071","11,376",News & Politics,2007
5,GEM鄧紫棋GEM鄧紫棋 ,"2,520,000","1,752,111,944",77,People & Blogs,2019
6,Ani-One動漫專區Ani-One動漫專區 ,"2,020,000","238,959,467","2,026",Film & Animation,2016
7,蘋果動新聞 HK Apple Daily蘋果動新聞 HK Apple Daily ,"1,880,000","1,580,438,690","70,586",News & Politics,2007
8,Nikmatul RosidahNikmatul Rosidah ,"1,590,000","384,841,124","1,697",People & Blogs,2013
9,Kento BentoKento Bento ,"1,580,000","137,410,428",38,Education,2015
10,ApronApron ,"1,520,000","182,803,329",346,Howto & Style,2012
11,亮生活 / Bright Side亮生活 / Bright Side ,"1,450,000","340,355,645","3,370",People & Blogs,2018
12,X調查X調查 ,"1,240,000","186,113,391",162,Entertainment,2019
13,天天相見廚房_阿見天天相見廚房_阿見 ,"1,110,000","382,074,185","1,734",Film & Animation,2017
14,TaleekTaleek ,"1,060,000","21,568,456",138,Education,2020
15,點 Cook Guide點 Cook Guide ,"1,030,000","159,308,130",843,Howto & Style,2014
16,JASONJASON ,"995,000","480,178,790","2,799",People & Blogs,2013
17,serpentzaserpentza ,"977,000","162,991,863",984,People & Blogs,2006
18,5分鐘DIY5分鐘DIY ,"975,000","286,456,954","3,126",People & Blogs,2018
19,TVB (official)TVB (official) ,"887,000","1,185,548,897","30,324",Entertainment,2006
20,Angelic Music WorldAngelic Music World ,"881,000","1,040,456,333",510,Music,2017
21,memehongkongmemehongkong ,"802,000","1,395,589,582","31,372",News & Politics,2013
22,果籽果籽 ,"798,000","635,382,190","15,326",News & Politics,2015
23,Mira's GardenMira's Garden ,"730,000","167,295,861",898,Travel & Events,2015
24,Huace Croton TV Arabic - العربية مسلسلات صينيةHuace Croton TV Arabic - العربية مسلسلات صينية ,"705,000","315,187,690","2,035",Entertainment,2019
25,Ayisha Elseenya - عائشة الصينيةAyisha Elseenya - عائشة الصينية ,"645,000","30,461,881",91,Music,2014
26,Games EffectGames Effect ,"631,000","523,978,181",90,Gaming,2010
27,哔哩哔哩动画Anime Made By Bilibili哔哩哔哩动画Anime Made By Bilibili ,"612,000","55,506,216","2,358",Film & Animation,2020
28,Cooking A DreamCooking A Dream ,"573,000","81,712,017",174,Howto & Style,2016
29,鬥士工作室 Fighter Studio HK鬥士工作室 Fighter Studio HK ,"573,000","1,309,373,805","2,674",,2018
30,阿星探店Chinese Food Tour阿星探店Chinese Food Tour ,"558,000","225,077,809",351,,2019
31,D100 RadioD100 Radio ,"529,000","221,706,760","13,507",News & Politics,2012
32,Mama CheungMama Cheung ,"529,000","91,405,391",355,Howto & Style,2014
33,GURUNG DIIPA [GDiipa]GURUNG DIIPA [GDiipa] ,"519,000","39,598,836",184,Howto & Style,2010
34,JeffHKJeffHK ,"497,000","54,772,276",43,Travel & Events,2016
35,蛇仔明蛇仔明 ,"486,000","380,602,972","5,014",People & Blogs,2011
36,環星音樂 / 環星娛樂 WSM Music HK環星音樂 / 環星娛樂 WSM Music HK ,"470,000","559,313,484","4,733",Music,2010
37,arhoTVarhoTV ,"463,000","169,228,844",698,People & Blogs,2007
38,HKTVNetworkHKTVNetwork ,"461,000","92,231,016","1,088",Entertainment,2012
39,我要做富翁我要做富翁 ,"455,000","60,455,735","2,260",Education,2012
40,SKT PlusSKT Plus ,"455,000","217,705,514","1,202",Film & Animation,2019
41,Carl Ho卡爾 頻道Carl Ho卡爾 頻道 ,"443,000","162,949,800",950,Entertainment,2007
42,MakeLearningFunMakeLearningFun ,"437,000","221,269,708",255,People & Blogs,2015
43,有線電視 CABLE TV & 有線新聞 CABLE News有線電視 CABLE TV & 有線新聞 CABLE News ,"436,000","257,040,074","31,365",,2010
44,Everyday ChineseEveryday Chinese ,"435,000","21,148,229",335,Education,2017
45,PEAR哥PEAR哥 ,"434,000","78,782,481",17,Film & Animation,2012
46,托哥torres托哥torres ,"432,000","51,344,895",156,People & Blogs,2018
47,REWA TechnologyREWA Technology ,"426,000","84,869,370",371,Science & Technology,2013
48,Shila Amzah 茜拉Shila Amzah 茜拉 ,"424,000","40,241,173",161,Music,2010
49,香港大紀元新唐人聯合新聞頻道香港大紀元新唐人聯合新聞頻道 ,"420,000","488,383,566","34,611",News & Politics,2013
50,ViuTVViuTV ,"413,000","232,820,950","10,099",Entertainment,2015
51,升旗易得道升旗易得道 ,"399,000","592,367,894","8,998",People & Blogs,2015
52,秘史趣聞秘史趣聞 ,"398,000","123,009,733","1,204",People & Blogs,2018
53,屎萊姆瘋狂世界屎萊姆瘋狂世界 ,"393,000","105,029,940","1,222",Gaming,2013
54,mingjai14mingjai14 ,"388,000","79,028,588",295,Comedy,2010
55,lizzydailylizzydaily ,"387,000","90,419,164",456,People & Blogs,2011
56,茶餘飯後茶餘飯後 ,"387,000","19,901,615","1,667",Entertainment,2016
57,鳳凰衛視 Phoenix TV鳳凰衛視 Phoenix TV ,"368,000","140,156,081","10,411",News & Politics,2018
58,Gundam GGundam G ,"366,000","118,895,152",91,Film & Animation,2012
59,Yuki LeungYuki Leung ,"344,000","115,894,199",96,People & Blogs,2008
60,機動電視台RTV機動電視台RTV ,"342,000","22,309,343",99,People & Blogs,2018
61,屎萊姆的3次元屎萊姆的3次元 ,"338,000","159,314,681",804,People & Blogs,2016
62,伯賴伯賴 ,"331,000","60,449,305",224,Entertainment,2008
63,haywong709haywong709 ,"327,000","66,900,404",280,Howto & Style,2010
64,RickyKAZAFRickyKAZAF ,"324,000","37,539,016",658,Howto & Style,2011
